date;HICP Index
31/01/1996;70,97
29/02/1996;71,29
31/03/1996;71,54
30/04/1996;71,66
31/05/1996;71,83
30/06/1996;71,84
31/07/1996;71,84
31/08/1996;71,8
30/09/1996;71,93
31/10/1996;72
30/11/1996;72,01
31/12/1996;72,19
31/01/1997;72,42
28/02/1997;72,59
31/03/1997;72,65
30/04/1997;72,6
31/05/1997;72,8
30/06/1997;72,83
31/07/1997;72,9
31/08/1997;73,02
30/09/1997;73,07
31/10/1997;73,09
30/11/1997;73,18
31/12/1997;73,26
31/01/1998;73,2
28/02/1998;73,4
31/03/1998;73,46
30/04/1998;73,61
31/05/1998;73,76
30/06/1998;73,8
31/07/1998;73,83
31/08/1998;73,85
30/09/1998;73,79
31/10/1998;73,77
30/11/1998;73,77
31/12/1998;73,81
31/01/1999;73,76
28/02/1999;73,94
31/03/1999;74,15
30/04/1999;74,4
31/05/1999;74,45
30/06/1999;74,45
31/07/1999;74,58
31/08/1999;74,67
30/09/1999;74,71
31/10/1999;74,74
30/11/1999;74,84
31/12/1999;75,09
31/01/2000;75,13
29/02/2000;75,37
31/03/2000;75,6
30/04/2000;75,67
31/05/2000;75,76
30/06/2000;76,04
31/07/2000;76,14
31/08/2000;76,2
30/09/2000;76,5
31/10/2000;76,52
30/11/2000;76,68
31/12/2000;76,96
31/01/2001;76,63
28/02/2001;76,86
31/03/2001;77,27
30/04/2001;77,73
31/05/2001;78,1
30/06/2001;78,21
31/07/2001;78,03
31/08/2001;77,97
30/09/2001;78,18
31/10/2001;78,24
30/11/2001;78,19
31/12/2001;78,54
31/01/2002;78,63
28/02/2002;78,76
31/03/2002;79,21
30/04/2002;79,56
31/05/2002;79,71
30/06/2002;79,67
31/07/2002;79,59
31/08/2002;79,64
30/09/2002;79,84
31/10/2002;80,03
30/11/2002;79,97
31/12/2002;80,36
31/01/2003;80,3
28/02/2003;80,62
31/03/2003;81,08
30/04/2003;81,21
31/05/2003;81,15
30/06/2003;81,25
31/07/2003;81,13
31/08/2003;81,25
30/09/2003;81,54
31/10/2003;81,66
30/11/2003;81,7
31/12/2003;81,95
31/01/2004;81,75
29/02/2004;81,94
31/03/2004;82,46
30/04/2004;82,88
31/05/2004;83,14
30/06/2004;83,18
31/07/2004;83
31/08/2004;83,17
30/09/2004;83,26
31/10/2004;83,59
30/11/2004;83,53
31/12/2004;83,85
31/01/2005;83,32
28/02/2005;83,62
31/03/2005;84,25
30/04/2005;84,6
31/05/2005;84,78
30/06/2005;84,87
31/07/2005;84,78
31/08/2005;84,98
30/09/2005;85,42
